folio,texto,fecha_presentacion,score_presentacion,agenda_presentacion_id,punto_presentacion_id,num_ramas_nivel1,via,expediente_id,punto_destino_id,tipo_evento_real,fecha_real_destino,fecha_evento_excel,status_destino,cierre_encontrado,fecha_cierre_real,fecha_aprobacion_excel,estado_excel,confianza
800,"Iniciativa con Proyecto de Decreto por la que se adiciona la",2025-10-01,0.502,78,953,0,,,,,,2026-04-21,,no,,2026-04-22,Aprobada,media
801,"Iniciativa con Proyecto de Decreto por la que se adiciona el",2025-10-01,0.551,78,954,1,expediente,132,3027,Comisión,2026-04-08,2026-04-08,2,no,,2026-04-09,Aprobada,alta
802,"Iniciativa con Proyecto de Decreto por el que se reforman la",2025-10-01,0.678,78,955,0,,,,,,,,no,,,En estudio,media
803,"Iniciativa con Proyecto de Decreto por el que se reforman y ",2025-10-01,0.632,78,956,0,,,,,,,,no,,,En estudio,media
804,"Iniciativa con Proyecto de Decreto por el que se reforma la ",2025-10-01,0.576,78,957,0,,,,,,,,no,,,En estudio,media
805,"Iniciativa con Proyecto de Decreto por la que se reforma el ",2025-10-01,,,,,,,,,,,,,,,En estudio,sin_match
806,"Iniciativa con Proyecto de Decreto por el que se reforma el ",2025-10-01,,,,,,,,,,,,,,,En estudio,sin_match
807,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
808,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
809,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
810,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
811,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
812,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
813,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
814,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
815,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
