id_iniciativa,ruta_iniciativa,ruta_decreto
99,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
100,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
101,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
102,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
103,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
104,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
105,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
106,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
107,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
108,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
109,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
110,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
111,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
112,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
113,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
114,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
115,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
116,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
117,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
118,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
119,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
120,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
121,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
122,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
123,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
124,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
125,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
126,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
127,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
128,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
129,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
130,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
131,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
132,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
133,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
134,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
135,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
136,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
137,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
138,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
139,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
140,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
141,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
142,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
143,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
328,storage/iniciativas/138-INIC-LOPLEG-YESICA-PM.pdf,
329,storage/iniciativas/139-INIC-DEPORTE-FIGUERA-PVEM.pdf,
330,storage/iniciativas/140-INIC-COD-ADM-LINARES-PVEM.pdf,
331,storage/iniciativas/141-INIC-BIODIVERSIDAD-CORREA-PVEM.pdf,
332,storage/iniciativas/142-INIC-CONSTITUC-YARELI-PT.pdf,storage/decretos/63-DECLARAT-DEC-CONSTITUC-PJUDICIAL-.docx
333,storage/iniciativas/143-INIC-BIODIVER-MEJIA-PRI.pdf,storage/decretos/DECRETO 96.pdf
334,storage/iniciativas/144-INIC-COMPETITIV-JOANNA-PAN.docx,
335,storage/iniciativas/145-INIC-BIODIVERS-PRD.pdf,
336,storage/iniciativas/146-INIC-LOMPAL-PRD.pdf,
1160,storage/iniciativas/8-PA-PUEBLO MAGICO-URBINA-PRI.pdf,storage/decretos/ACUERDO 50.pdf
1161,storage/iniciativas/9-PA-NUTRICION-EMMA-PAN.docx,
1162,storage/iniciativas/10-PA-SALARIOS-PMC.pdf,
1163,storage/iniciativas/11-PA-ENTREGA-RECEPCION-PMC.pdf,
1164,,storage/decretos/ACUERDO 14.pdf
1165,storage/iniciativas/15-MINUTA-INIMPUGNABILIDAD.pdf,storage/decretos/ACUERDO 15-minuta.pdf
2,storage/iniciativas/47-137-OF-TABLAS DE VALOR 2025-22-OCT-24-91.doc,storage/decretos/DECRETO 54.pdf
1166,storage/iniciativas/16-MINUTA-BIENESTAR-SENADO.pdf,storage/decretos/ACUERDO 16-minuta.pdf
1167,storage/iniciativas/17-MINUTA-VIVIENDA-SENADO.pdf,storage/decretos/ACUERDO 17-minuta.pdf
337,storage/iniciativas/148-INIC-COMPETITIVIDAD-PEREZ-PM.pdf,
338,storage/iniciativas/149-INIC-COD-PENAL-LUISA-PM.pdf,storage/decretos/DECRETO 214.pdf
339,storage/iniciativas/150-INIC-BIODIVERSIDAD-MATA-PVEM.pdf,
340,storage/iniciativas/200-INIC-SEGURIDAD-RESCALA-PRI.pdf,storage/decretos/DECRETO 116.pdf
341,storage/iniciativas/152-INIC-NIÑAS-KARINA-PAN.pdf,storage/decretos/DECRETO 134.pdf
342,storage/iniciativas/153-INIC-RPLEG-PMC.pdf,
343,storage/iniciativas/154-INIC-SIST-MEXIQ-PMC.pdf,
1168,storage/iniciativas/12-PA-AGUA-ROSA-PM.pdf,
1169,storage/iniciativas/18-PA-ALERTA-YURIXI-PT.pdf,storage/decretos/ACUERDO 18.pdf
1170,storage/iniciativas/13-PA-TRABAJO-CASTRO-PRI.pdf,
1171,storage/iniciativas/14-PA-ELECTRIC-ROMAN-PAN.pdf,
1172,storage/iniciativas/15-PA-BACHES-PRD.pdf,
145,storage/iniciativas/139-INIC-LOTJA-MAURILIO-PM.pdf,
146,storage/iniciativas/140-INIC-LOAP-YESICA-PM.doc,
147,storage/iniciativas/141-INIC-COD-ADM-YESICA-PM.pdf,
148,storage/iniciativas/142-INIC-JUVENTUD-YESICA-PM.pdf,storage/decretos/DEC 112.pdf
149,storage/iniciativas/143-INIC-COD-FINANC-ROSA-PM.pdf,
151,storage/iniciativas/145-INIC-MERCADOS-DELAROSA-PM.pdf,
152,storage/iniciativas/146-INIC-LOMPAL-ROSA-PM.pdf,
153,storage/iniciativas/147-INIC-TRANSPAR-ROSA-PM.pdf,
154,storage/iniciativas/148-INIC-MUJERES-ROSA-PM.docx,
155,storage/iniciativas/149-INIC-COD-PENAL-PONCE-PM.pdf,
39583a48-1cdf-4a3f-9606-58bd5c102f76,storage/iniciativas/150-INIC-ROCK-ROSA-PM.pdf,storage/decretos/DECRETO 104.pdf
157,storage/iniciativas/151-INIC-RECUPERAC-PVEM.docx,
158,storage/iniciativas/152-INIC-COD-PENAL-PVEM.pdf,
159,storage/iniciativas/153-INIC-ACTOS-PVEM.pdf,
160,storage/iniciativas/154-INIC-COD-ADM-PVEM.pdf,
161,storage/iniciativas/155-INIC-LOPLEG-PVEM.pdf,
162,storage/iniciativas/156-INIC-COD-ADM-PVEM.docx,
